Total_CPU_percent,Total_Memory_usage
0.5,2682413056
0.0,2682413056
0.0,2682413056
0.0,2682404864
0.2,2682404864
0.0,2682404864
0.0,2682404864
0.2,2684620800
0.0,2684424192
0.2,2683240448
0.0,2682630144
0.2,2682630144
0.0,2682630144
0.2,2682499072
0.0,2682499072
0.0,2682499072
0.0,2682335232
0.2,2685050880
0.2,2684985344
0.0,2683645952
0.2,2683449344
0.0,2683449344
0.0,2683449344
0.0,2683449344
0.0,2683351040
0.0,2683314176
0.0,2682843136
0.5,2683650048
0.0,2683260928
0.0,2682245120
0.0,2682245120
0.0,2682097664
0.3,2682359808
0.2,2682294272
0.0,2681409536
0.0,2680623104
0.0,2680557568
0.3,2682462208
0.2,2681311232
0.0,2681311232
0.0,2681311232
0.0,2681245696
0.5,2682003456
0.0,2682003456
0.2,2681409536
0.0,2681278464
0.0,2681016320
0.3,2682814464
0.0,2681536512
0.0,2681536512
0.0,2681536512
0.0,2680848384
0.5,2681634816
0.0,2681929728
0.0,2681860096
0.0,2681696256
0.2,2682122240
0.2,2683199488
0.2,2681102336
0.0,2681167872
0.0,2681167872
0.2,2681102336
0.3,2681692160
0.0,2681655296
0.0,2681651200
0.0,2681618432
0.3,2683236352
0.3,2682220544
0.0,2681909248
0.0,2681778176
0.0,2681778176
0.0,2681647104
0.5,2681090048
0.0,2679775232
0.0,2678726656
0.0,2678726656
0.3,2681516032
0.3,2681712640
0.2,2680262656
0.0,2680262656
0.2,2680131584
0.0,2678624256
0.5,2680033280
0.3,2680295424
0.0,2680512512
0.0,2680512512
0.0,2682216448
0.3,2681659392
0.2,2681106432
0.0,2680811520
0.0,2680745984
0.2,2680352768
0.2,2681012224
0.3,2681307136
0.0,2681688064
0.0,2681688064
0.6,2683305984
0.0,2682912768
0.0,2681520128
0.0,2681520128
0.0,2681520128
0.6,2680897536
0.3,2680307712
0.3,2679881728
0.0,2679967744
0.0,2679967744
0.3,2681171968
0.6,2680307712
0.2,2680569856
0.0,2680205312
0.0,2680201216
0.0,2678861824
0.3,2677846016
0.2,2676854784
0.0,2676817920
0.0,2676817920
0.3,2679615488
0.3,2678353920
0.0,2678517760
0.0,2678837248
0.2,2678833152
0.5,2678931456
0.5,2678865920
0.0,2679185408
0.0,2679083008
0.0,2679017472
0.3,2680979456
0.5,2680512512
0.2,2680119296
0.0,2680131584
0.0,2680131584
0.3,2677977088
0.5,2678468608
0.0,2679123968
0.2,2678439936
0.2,2680758272
0.6,2680373248
0.3,2679185408
0.2,2679472128
5.2,2676690944
1.7,2674716672
0.5,2676203520
0.3,2676695040
0.6,2676465664
0.3,2676690944
0.6,2677993472
0.0,2678472704
0.8,2677886976
0.3,2678083584
0.3,2678140928
0.3,2677813248
0.5,2676043776
0.2,2676240384
0.2,2675388416
0.2,2675859456
0.3,2677600256
0.3,2677358592
0.3,2677948416
0.2,2678439936
0.2,2678820864
0.3,2679013376
0.3,2679398400
0.2,2679869440
0.2,2679619584
0.3,2679767040
0.3,2681724928
0.2,2680524800
0.5,2680393728
0.0,2680582144
0.0,2680061952
0.0,2680614912
0.5,2680426496
0.3,2679005184
0.0,2678239232
0.0,2678235136
0.3,2680569856
0.5,2679816192
0.3,2680111104
0.3,2680471552
0.3,2679701504
0.2,2679209984
0.2,2679013376
0.3,2675281920
0.3,2675171328
0.3,2675040256
0.3,2676789248
0.5,2676842496
0.5,2677432320
0.2,2677104640
0.0,2677252096
0.2,2675814400
0.5,2674798592
0.2,2674061312
0.2,2674520064
0.2,2674888704
0.2,2677452800
0.3,2675920896
0.2,2676805632
0.3,2677166080
0.2,2677366784
0.2,2678173696
0.2,2677993472
0.3,2678697984
0.3,2679271424
0.3,2679742464
0.0,2679709696
0.5,2677366784
0.6,2679087104
0.2,2679431168
0.2,2679316480
0.5,2679726080
0.3,2680561664
0.3,2678386688
0.0,2677927936
0.3,2677694464
0.3,2677465088
0.3,2677432320
0.2,2678808576
0.3,2679824384
0.0,2679971840
0.5,2681102336
0.6,2681511936
0.3,2680545280
0.5,2679611392
0.0,2679123968
0.0,2676486144
0.6,2676731904
0.3,2677649408
0.2,2677960704
0.0,2677354496
0.3,2674864128
0.0,2672685056
0.3,2674049024
0.5,2675277824
0.0,2675933184
0.6,2675781632
0.2,2676752384
0.3,2678145024
0.5,2679029760
0.2,2678579200
0.3,2678743040
0.5,2677956608
0.5,2679300096
0.0,2678415360
0.2,2678120448
0.3,2677026816
0.3,2677780480
0.2,2678333440
0.3,2678800384
0.2,2677784576
0.2,2678472704
0.6,2678341632
0.5,2678505472
0.2,2679111680
0.0,2678849536
0.2,2678251520
0.5,2679791616
0.6,2679398400
0.6,2680119296
0.0,2679513088
0.5,2678063104
0.3,2679357440
0.6,2680684544
0.2,2680504320
0.0,2679717888
0.2,2678734848
0.2,2679242752
0.6,2678833152
0.0,2679144448
0.2,2674814976
0.5,2672209920
0.3,2673618944
0.5,2674372608
0.2,2674978816
0.2,2674925568
0.2,2674716672
0.5,2676404224
0.6,2676731904
0.2,2677567488
0.5,2677661696
0.2,2677039104
0.2,2677448704
0.3,2676887552
0.5,2675970048
0.2,2675638272
0.2,2675687424
0.3,2676588544
8.0,2670153728
0.8,2671042560
0.2,2671321088
0.5,2671927296
0.6,2673696768
0.8,2674278400
0.2,2675179520
0.3,2673852416
0.6,2674835456
0.5,2676162560
0.3,2677768192
0.3,2677817344
0.3,2677014528
0.0,2676617216
0.3,2676944896
0.5,2676699136
0.2,2675437568
0.3,2675122176
0.0,2674679808
0.5,2675482624
0.6,2677891072
0.3,2676285440
0.2,2673778688
0.5,2671730688
0.2,2673504256
0.5,2674446336
0.2,2673893376
0.0,2673205248
0.2,2673762304
0.3,2675499008
0.3,2676924416
0.3,2677678080
0.0,2677514240
0.2,2677891072
0.3,2677821440
0.3,2677280768
0.3,2677731328
0.0,2676568064
0.3,2677272576
0.5,2678599680
0.5,2676359168
0.2,2677125120
0.2,2676211712
0.2,2675785728
0.3,2676015104
0.3,2676355072
0.6,2674909184
0.0,2675302400
0.3,2676154368
0.3,2677317632
0.3,2677153792
0.2,2677596160
0.3,2676580352
0.5,2676559872
0.3,2676183040
0.5,2676445184
0.3,2674266112
0.2,2674167808
0.2,2674757632
0.2,2675560448
0.3,2676379648
0.3,2674413568
0.3,2671366144
0.3,2671136768
0.3,2672021504
0.5,2673442816
0.5,2673164288
0.0,2673459200
0.3,2673885184
0.3,2675081216
0.2,2675490816
0.6,2676056064
0.0,2676387840
0.6,2677174272
0.5,2677518336
0.3,2678190080
0.2,2676396032
0.3,2676625408
0.0,2677215232
0.2,2677690368
0.9,2678591488
0.3,2677821440
0.5,2676527104
0.2,2676805632
